spot,time,occupied,occID
14,7:00 AM,,1
14,8:00 AM,,1
14,9:00 AM,Construction,50
14,10:00 AM,Construction,50
14,11:00 AM,Construction,50
14,12:00 PM,Construction,50
14,1:00 PM,Construction,50
14,2:00 PM,Construction,50
14,3:00 PM,Construction,50
14,4:00 PM,Construction,50
14,5:00 PM,Construction,50
14,6:00 PM,Construction,50
14,7:00 PM,Construction,50
14,8:00 PM,Construction,50
15,6:00 AM,,1
15,7:00 AM,,1
15,8:00 AM,,1
15,9:00 AM,Construction,50
15,10:00 AM,Construction,50
15,11:00 AM,Construction,50
15,12:00 PM,Construction,50
15,1:00 PM,Construction,50
15,2:00 PM,Construction,50
15,3:00 PM,Construction,50
15,4:00 PM,Construction,50
15,5:00 PM,Construction,50
15,6:00 PM,Construction,50
15,7:00 PM,Construction,50
15,8:00 PM,1DH,50
16,6:00 AM,,1
16,7:00 AM,,1
16,8:00 AM,,1
16,9:00 AM,Construction,50
16,10:00 AM,Construction,50
16,11:00 AM,Construction,50
16,12:00 PM,Construction,50
16,1:00 PM,Construction,50
16,2:00 PM,Construction,50
16,3:00 PM,Construction,50
16,4:00 PM,Construction,50
16,5:00 PM,Construction,50
16,6:00 PM,Construction,50
16,7:00 PM,Construction,50
16,8:00 PM,Construction,50
17,6:00 AM,,1
17,7:00 AM,,1
17,8:00 AM,Construction,50
17,9:00 AM,Construction,50
17,10:00 AM,Construction,50
17,11:00 AM,Construction,50
17,12:00 PM,Construction,50
17,1:00 PM,Construction,50
17,2:00 PM,Construction,50
17,3:00 PM,Construction,50
17,4:00 PM,Construction,50
17,5:00 PM,Construction,50
17,6:00 PM,Construction,50
17,7:00 PM,Construction,50
17,8:00 PM,Construction,50
18,6:00 AM,,1
18,7:00 AM,,1
18,8:00 AM,Construction,50
18,9:00 AM,Construction,50
18,10:00 AM,Construction,50
18,11:00 AM,Construction,50
18,12:00 PM,Construction,50
18,1:00 PM,Construction,50
18,2:00 PM,Construction,50
18,3:00 PM,Construction,50
18,4:00 PM,Construction,50
18,5:00 PM,Construction,50
18,6:00 PM,Construction,50
18,7:00 PM,Construction,50
18,8:00 PM,Construction,50
19,6:00 AM,,1
19,7:00 AM,,1
19,8:00 AM,Construction,50
19,9:00 AM,Construction,50
19,10:00 AM,Construction,50
19,11:00 AM,Construction,50
19,12:00 PM,Construction,50
19,1:00 PM,Construction,50
19,2:00 PM,Construction,50
19,3:00 PM,Construction,50
19,4:00 PM,Construction,50
19,5:00 PM,Construction,50
19,6:00 PM,Construction,50
19,7:00 PM,Construction,50
19,8:00 PM,Construction,50
20,6:00 AM,Construction,50
20,7:00 AM,Construction,50
20,8:00 AM,Construction,50
20,9:00 AM,Construction,50
20,10:00 AM,Construction,50
20,11:00 AM,Construction,50
20,12:00 PM,Construction,50
20,1:00 PM,Construction,50
20,2:00 PM,Construction,50
20,3:00 PM,Construction,50
20,4:00 PM,Construction,50
20,5:00 PM,Construction,50
20,6:00 PM,Construction,50
20,7:00 PM,Construction,50
20,8:00 PM,Construction,50
21,6:00 AM,Construction,50
21,7:00 AM,Construction,50
21,8:00 AM,Construction,50
21,9:00 AM,Construction,50
21,10:00 AM,Construction,50
21,11:00 AM,Construction,50
21,12:00 PM,Construction,50
21,1:00 PM,Construction,50
21,2:00 PM,Construction,50
